id,tipo_es,tipo_gl,id_tipo,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
5204,Conservatorios de Música (CEMU/CMUS),Conservatorios de Música (CEMU/CMUS),355,CEMU Profesional Coppelia,VIGO,VIGO,RUA PI Y MARGALL,61,42.23345,-8.73022,36202,986222930,
5205,Conservatorios de Música (CEMU/CMUS),Conservatorios de Música (CEMU/CMUS),355,CEMU Profesional Mayeusis,,,RUA AREAL,118,42.23879,-8.71158,36201,986226378,
5206,Conservatorios de Música (CEMU/CMUS),Conservatorios de Música (CEMU/CMUS),355,CEMU Superior Mayeusis,,,RUA AREAL,118,42.23879,-8.71158,36201,,
5207,Conservatorios de Música (CEMU/CMUS),Conservatorios de Música (CEMU/CMUS),355,CMUS Profesional de Vigo,VIGO,VIGO,RUA FOTOGRAFO FELIPE PROSPERI,,42.21647,-8.74017,36209,986213395,
5208,Conservatorios de Música (CEMU/CMUS),Conservatorios de Música (CEMU/CMUS),355,CMUS Superior de Vigo,VIGO,VIGO,RUA MANUEL OLIVIE,23,42.22923,-8.72357,36203,986471144,
5209,Centro Autorizado de Deportes (CAD),Centro Autorizado de Deportes (CAD),356,CAD ACADEF (Escuela de Entrenadores de Fútbol),VALADARES,GARRIDA,CMÑO ESCOLA ANDERSEN,28,42.16156,-8.72281,36315,606198166,
5210,Centro Autorizado de Deportes (CAD),Centro Autorizado de Deportes (CAD),356,CAD CIP,VIGO,VIGO,RUA BRASIL,48,42.23242,-8.71355,36204,986472211,
5211,Centro Autorizado de Deportes (CAD),Centro Autorizado de Deportes (CAD),356,CAD Montecastelo,LAVADORES,GANDARIÑA,RUA PAZ PARDO,84,42.21406,-8.69346,36214,986412488,
5212,Centro Autorizado de Deportes (CAD),Centro Autorizado de Deportes (CAD),356,CADFS Constantino Castro Ruso (Fútbol Sala),SARDOMA,RAVISO,RUA CARBALLO,46,42.22355,-8.71545,36204,981134238,
5213,Centro Privado estranjero (CPREX),Centro Privado estranxeiro (CPREX),357,CPREX Eleven School,MATAMA,IGREXA,CMÑO REAL (MATAMA),10,42.20109,-8.73761,36213,672077780,https://elevenschool.com
5215,Escola Oficial de Idiomas (EOI),Escola Oficial de Idiomas (EOI),358,EOI de Vigo,LAVADORES,BAGUNDA,AVDA E. MTNEZ GARRIDO- ALCALDE,17,42.22852,-8.69955,36205,986260261,
5216,Centro Público de Educación y Promoción de Adultos,Centro Público de Educación e Promoción de Adultos,359,EPAPU Berbés,VIGO,VIGO,RUA MARQUES DE VALTERRA,8,42.23372,-8.73215,36202,886110976,
5217,Escuela Superior de Arte Dramática (ESAD),Escola Superior de Arte Dramática (ESAD),360,ESAD Escola Superior de Arte Dramática de Galicia,,,RUA POZA CABALO,,42.20879,-8.75924,36213,986246399,
361,Universidad,Universidade,73,Facultade de Filoloxía e Traducción,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16972,-8.67711,36310,986812251,http://fft.uvigo.es
362,Universidad,Universidade,73,Facultade de Ciencias Xurídicas e do Traballo,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16831,-8.68131,36310,986814010,http://fccxxt.webs.uvigo.es/gl/
363,Universidad,Universidade,73,Facultade de Ciencias Económicas e Empresariais,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.17035,-8.68082,36310,986812400,http://fccee.uvigo.es
364,Universidad,Universidade,73,Facultade de Química,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16819,-8.68455,36310,986812696,http://quimica.uvigo.es/
365,Universidad,Universidade,73,Facultade de Ciencias do Mar,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16808,-8.68480,36310,986812550,http://mar.uvigo.es
366,Universidad,Universidade,73,Facultade de Bioloxía,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.16744,-8.68552,36310,986811976,http://bioloxia.uvigo.es
368,Universidad,Universidade,73,Escola de Enxeñaría de Minas e Enerxía,ZAMANS,MARCOSENDE,RUA MAXWELL,0,42.16877,-8.68839,36310,986811930,http://minaseenerxia.uvigo.es/gl/
369,Universidad,Universidade,73,ETS de Enxeñeiros de Telecomunicacións,ZAMANS,MARCOSENDE,CTRA MARCOSENDE,0,42.17005,-8.68813,36310,986812100,http://teleco.uvigo.es
5238,Universidad,Universidade,73,Escola de Enxeñería Industrial (Sede Cidade),VIGO,VIGO,RUA CONDE TORRECEDEIRA,86,42.22722,-8.73461,36208,986813688,http://eei.uvigo.es/
5239,Universidad,Universidade,73,Escola de Enxeñería Industrial (Sede Campus),,,RUA MAXWELL,,42.16823,-8.68928,36310,986812200,http://eei.uvigo.es/
5240,Universidad,Universidade,73,Centro de Apoio Científico e Tecnolóxico á Investigación (CACTI),,,CTRA MARCOSENDE,,42.16731,-8.68398,,986812118,http://cactiweb.webs.uvigo.es/Joomla/index.php/gl/
5241,Universidad,Universidade,73,Centro de Investigacións Biomédicas (CINBIO),,,CTRA MARCOSENDE,,42.16731,-8.68398,,986812118,http://cinbio.es/gl/portada/
5242,Universidad,Universidade,73,Centro de Investigación Tecnolóxico Industrial (MTI),,,CTRA MARCOSENDE,,42.16731,-8.68398,,986130153,http://mti.uvigo.es/
5245,Universidad,Universidade,73,Estación de Ciencias Mariñas de Toralla (ECIMAT),,,,,42.20177,-8.80076,,986815700,https://ecimat.uvigo.es/es/
5246,Universidad,Universidade,73,EU de Enfermaría (Meixoeiro) (Centro adscrito público),,,CMÑO MEIXUEIRO,,42.21369,-8.68654,,986811152,http://enfermeriameixoeiro.uvigo.es/index.php/es/
5247,Universidad,Universidade,73,EU de Enfermaría (Povisa),VIGO,VIGO,RUA ROMIL,75,42.22738,-8.72908,36211,986472058,http://www.cepovisa.com
5248,Universidad,Universidade,73,"Escola Universitaria de Maxisterio ""María Sedes Sapientiae""",SARDOMA,LAMEIRO,CTRA MADRID,8,42.21465,-8.69953,36214,986414498,http://www.escuelamagisterioceuvigo.es/
5249,Universidad,Universidade,73,Instituto de Educación Superior Intercontinental de la Empresa (IESIDE),VIGO,VIGO,AVDA MADRID,60,42.22500,-8.71307,36204,986493252,https://www.ieside.edu/
1854,Centro de Estudios Artísticos y Técnicos (CE.ART),Centro de Estudios Artísticos e Técnicos (CE.ART),203,CE.ART Atlántico,CABRAL,SELLO,AVDA PONTE (CABRAL),9,42.22190,-8.66969,36215,986266058,http://www.escuelatlantico.com
5152,Centro de Estudios Artísticos y Técnicos (CE.ART),Centro de Estudios Artísticos e Técnicos (CE.ART),203,CE.ART Marcote,CABRAL,FONTIÑAS,AVDA PONTE,80,42.21494,-8.66939,36215,986266013,
4620,Centro de Estudios Artísticos y Técnicos (CE.ART),Centro de Estudios Artísticos e Técnicos (CE.ART),203,CE.ART Aula D,VIGO,VIGO,RUA OURENSE,4,42.22572,-8.73011,36211,986214076,
4739,Centro de Estudios Artísticos y Técnicos (CE.ART),Centro de Estudios Artísticos e Técnicos (CE.ART),203,CE.ART Tex-Moda,VALADARES,PORTAL,CTRA VALADARES,0,42.17554,-8.71023,36314,986223620,http://www.texmoda.es/
1851,Centro de Educación Especial (CEEPR),Centro de Educación Especial (CEEPR),164,CEE Saladino Cortizo,CABRAL,CARBALLAL,RUA CARBALLAL (CABRAL),60,42.23814,-8.63857,36318,986288188,
1955,Centro de Educación Especial (CEEPR),Centro de Educación Especial (CEEPR),164,CEEPR San Francisco,NAVIA,PERTEGUEIRAS,AVDA EUROPA,94,42.21168,-8.77202,36212,672150928,
1973,Centro de Educación Especial (CEEPR),Centro de Educación Especial (CEEPR),164,CEEPR Fogar e Clin. San Rafael,VIGO,VIGO,RUA SAN XOAN DE DEUS (BOUZAS),1,42.22347,-8.74684,36208,986232740,
1975,Centro de Educación Especial (CEEPR),Centro de Educación Especial (CEEPR),164,CEEPR Menela,ALCABRE,VEIGUIÑA,CMÑO VEIGUIÑA (ALCABRE),17,42.21987,-8.75819,36212,986240703,
2020,Centro de Educación Especial (CEEPR),Centro de Educación Especial (CEEPR),164,CEEPR Aspanaex,CASTRELOS,PAZO,RUA MESTRES GOLDAR,18,42.21015,-8.72605,36213,986208395,
1859,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Josefa Alonso de Alonso,MATAMA,SAN MAURO,RUA MANUEL COMINGES,14,42.19988,-8.73778,36213,886120246,http://www.edu.xunta.gal/centros/ceipjosefaalonso/
1860,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Otero Pedrayo,BEADE,BABIO,RUA RAMIRO PASCUAL,9,42.19519,-8.71879,36312,886120257,
1861,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Sobreira-Valadares,VALADARES,GARRIDA,CTRA ESCOLA DA SOBREIRA,89,42.16438,-8.70838,36315,986468189,
1862,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP de Coutada-Beade,BEADE,COUTADA,CMÑO ALEN,6,42.19213,-8.70148,36312,886111196,
1863,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP de Mosteiro-Bembrive,BEMBRIVE,MOSTEIRO,CTRA BEMBRIVE,161,42.20624,-8.69102,36214,886120216,http://www.edu.xunta.gal/centros/ceipmosteirobembrive/
1871,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP O Sello,CABRAL,SELLO,RUA SARDOMELA,5,42.22138,-8.66904,36215,886120268,
1872,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Carballal-Cabral,CABRAL,CARBALLAL,RUA LOMBA,1,42.23478,-8.64811,36317,886120124,
1873,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP da Igrexa-Candeán,CANDEAN,IGREXA,RUA SAN CRISTOVO (CANDEAN),131,42.24156,-8.66801,36317,886120037,
1874,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Eduardo Pondal,VIGO,VIGO,RUA ROSAL FLORIDO,24,42.23447,-8.69049,36215,886120261,
1875,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Frián-Teis,VIGO,VIGO,CMÑO GONDERAN,42,42.24145,-8.69522,36206,886120161,http://www.edu.xunta.gal/centros/ceipfrian/
1876,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP de Fonte Escura,LAVADORES,BARREIRO,TRVA BARREIRO 1 (LAVADORES),34,42.22812,-8.67545,36214,886120130,http://www.edu.xunta.gal/centros/ceipfonteescura/
1877,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Valle Inclán,LAVADORES,VILAR,AVDA ALCALDE DE LAVADORES,16,42.22332,-8.69970,36214,886120202,
1878,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP A Doblada,VIGO,VIGO,RUA GAIVOTA,18,42.22515,-8.70750,36205,886120154,
1910,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Ramón y Cajal,VIGO,VIGO,RUA MARQUES DE VALTERRA,8,42.23372,-8.73215,36202,886120065,
1911,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Altamar,VIGO,VIGO,RUA CESAREO GONZALEZ,4,42.21862,-8.73189,36210,986213713,
1941,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Emilia Pardo Bazán,VIGO,VIGO,CMÑO CHOUZO,7,42.22338,-8.73603,36208,886120078,
1942,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Virxe do Rocío,VIGO,VIGO,RUA ROCIO,70,42.21999,-8.75213,36208,986236148,
1943,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Illas Cíes,VIGO,VIGO,AVDA CASTELAO,59,42.21789,-8.74424,36209,886120111,http://www.edu.xunta.gal/centros/ceipillascies/
1944,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Seis do Nadal,VIGO,VIGO,RUA MONDARIZ,2,42.21626,-8.74695,36209,886120182,https://www.edu.xunta.gal/centros/cepseisdonadal/
1945,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Pintor Laxeiro,VIGO,VIGO,RUA GARCIA LORCA,18,42.21852,-8.73779,36210,886120137,
1946,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Balaídos,VIGO,VIGO,RUA PABLO IGLESIAS,1,42.21118,-8.74374,36210,886111084,
1947,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Escultor Acuña,VIGO,VIGO,RUA ESTRADA,10,42.22095,-8.74096,36209,886120115,
1952,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP A Paz,CORUXO,TINTUREIRA,CTRA FRAGOSELO,42,42.18776,-8.77306,36330,886120271,
1953,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Alfonso D. Rodríguez Castelao,NAVIA,XUNCAL,RUA PEDRA SEIXA (DA),35,42.20935,-8.76060,36212,886120253,
1954,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Ría de Vigo,OIA,POZA,AVDA CESAREO VAZQUEZ,139,42.18753,-8.80122,36390,886120107,
1958,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP García Barbón,VIGO,VIGO,RUA SERAFIN AVENDAÑO,20,42.23605,-8.71307,36201,886120161,
1979,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe da Carrasqueira,CORUXO,COUTO DE ABAIXO,RUA CARRASQUEIRA,55,42.19745,-8.78061,36331,886120191,
1982,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Javier Sensat,ALCABRE,CASTAÑAL,RUA XAVIER SENSAT,8,42.22093,-8.76222,36208,886120243,
1983,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Párroco Don Camilo,COMESAÑA,EIDOS,CTRA MATAMA PAZO,104,42.20071,-8.75396,36213,886120222,http://www.edu.xunta.gal/centros/ceipparrocodoncamilo/
2000,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP San Salvador,VIGO,VIGO,AVDA GALICIA,181,42.25669,-8.68480,36216,886120210,
2001,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Plurilingüe Paraixal,TEIS,PARAIXAL,RUA COLEXIO PARAIXAL,17,42.24849,-8.68567,36216,886120233,
2002,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Vicente Risco,VIGO,VIGO,RUA SANTANDER,10,42.24627,-8.70083,36207,886120185,
2009,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Santa Mariña,CABRAL,BECERREIRA,RUA XALON,40,42.22065,-8.65469,36318,886120175,
2010,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP O Pombal,LAVADORES,PARDAVILA,CMÑO POMBAL (CALVARIO),0,42.23246,-8.69875,36205,886120087,http://centros.edu.xunta.es/ceipopombal
2014,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP A Canicouva,CASTRELOS,PEREIRO,RUA CANICOUVA (CASTRELOS),22,42.20944,-8.72971,36213,886120237,
2015,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Mestres Goldar,CASTRELOS,COSTA,RUA COSTA (CASTRELOS),4,42.21343,-8.72271,36213,886120095,
2016,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP Lope de Vega,SARDOMA,RAVISO,CTRA PROVINCIAL,119,42.22223,-8.71082,36214,886111165,
2017,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP de Sárdoma-Moledo,SARDOMA,RELFAS,CTRA MARCO,30,42.20737,-8.70714,36214,886120168,
4594,Centro de Educación Infantil y Primaria (CEIP),Centro de Educación Infantil e Primaria (CEIP),78,CEIP de Chans-Bembrive,BEMBRIVE,CHANS,RUA LOMBA,2,42.19644,-8.67672,36313,886111140,http://centros.edu.xunta.es/ceipdechans.bembrive
5154,Centro Integrado de Formacion Profesional (CIFP),Centro Integrado de Formacion Profesional (CIFP),200,CIFP Manuel Antonio,,,AVDA MADRID,,42.21487,-8.68078,36214,886120750,http://www.edu.xunta.gal/centros/cifpmanuelantonio/
1951,Centro Integrado de Formacion Profesional (CIFP),Centro Integrado de Formacion Profesional (CIFP),200,CIFP de Coia,VIGO,VIGO,RUA BAIONA,28,42.21476,-8.75185,36209,886110905,
2019,Centro Integrado de Formacion Profesional (CIFP),Centro Integrado de Formacion Profesional (CIFP),200,CIFP Valentín Paz Andrade,LAVADORES,BOUCIÑA,CTRA VELLA MADRID,160,42.21838,-8.68001,36214,886110857,
1957,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Santa Marta - Casco Vello,VIGO,VIGO,RUA SANTA MARTA,38,42.23610,-8.73028,36202,986442153,
1976,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Costeira de Saiáns,SAIANS,RADIO COSTERA,BDA PRAIA (SAIANS),83,42.16717,-8.80612,36392,986498677,
1986,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Santa Cristina de Lavadores,LAVADORES,BAGUNDA,RUA SANTA CRISTINA,1,42.22693,-8.69722,36214,986280732,
2021,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Atalaia de Teis,VIGO,VIGO,AVDA DOÑA FERMINA,9,42.25368,-8.70030,36207,986376503,
5218,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Bouzas - Casiano Martínez,VIGO,VIGO,RUA CASIANO MARTINEZ,18,42.22381,-8.75577,36208,986246550,
5219,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Mestres Goldar,CASTRELOS,PAZO,RUA MESTRES GOLDAR,22,42.20974,-8.72616,36213,986239644,
5220,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Navia,,,RUA PEDRA SEIXA (DA),37,42.20885,-8.76256,36212,986687822,
5221,Escuelas Infantiles Municipales (EIM),Escolas Infantís Municipais (EIM),157,EIM Tomás Alonso,,,RUA TOMAS A ALONSO,,42.22464,-8.74565,36208,986291206,
5234,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI Pasiño a Pasiño,VIGO,VIGO,RUA SANJURJO BADIA,5,42.24330,-8.70629,36207,986437609,
5235,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI San Nicolás,VIGO,VIGO,RUA NUMANCIA,52,42.23401,-8.70458,36206,986262570,
5236,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI Santa Isabel,VIGO,VIGO,RUA DR. CORBAL,33,42.25120,-8.69712,36207,986376427,
5237,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI Santo Tomé de Treixeiro,FREIXEIRO,FREIXEIRO,RUA PASTORA,44,42.21821,-8.72927,36210,986136059,
5222,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI Bouzas,,,RUA PARDAIÑA,2,42.22021,-8.75587,36208,,
5223,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI Relfas,SARDOMA,RELFAS,CTRA MARCO,28,42.20795,-8.70779,36214,886120120,
5224,Escuelas Infantiles (EI) / Guarderías Infantiles,Escolas Infantís (EI) / Garderías Infantís,198,EI Rosalía de Castro,VIGO,VIGO,RUA BAIONA,9,42.21529,-8.74933,36209,886120164,
